rider_id,first_completed_trip,lifetime_trips,first_trip_city_id,lifetime_payments
9fbb-6bf0,3/27/09,251,1032,2026.69218348037
ab77-e456,2/8/12,43,1032,385.288
bb22-4aa5,6/16/10,771,1032,10228.336
c9c8-4347,4/28/07,177,1032,4505.776
ec55-39ae,3/29/08,262,1032,8268.45199810371
ee67-c79a,8/2/09,189,1032,1818.824
fc03-a810,5/15/10,129,1032,2416.74156454721
791f-3ff0,7/10/11,120,1596,949.848
9ce1-c365,10/11/09,135,1032,1836.408
bd84-247a,5/9/11,70,1020,734.125500893491
e243-c427,3/7/09,73,1032,2874.576
eb3f-b063,2/6/11,10,1032,99.6
483e-9695,11/29/10,109,1024,1632.672
6f94-ae35,2/16/12,39,1032,270.52
78d1-3cbb,9/9/08,368,1032,3504.888
a498-085b,10/8/09,372,2330,3677.912
fb3c-3609,12/4/10,74,1134,732.137156860648
1345-9ae3,11/12/08,196,1020,8792.184
2011-13c3,11/6/09,424,1066,4310.42011539868
4d8d-3787,7/5/08,665,1032,7356.56
7470-fcc8,9/26/08,94,1032,1955.016
9217-46e9,4/4/11,102,1032,1266.8
e942-ed88,5/29/11,73,1032,769.744
f14b-55b9,12/20/09,140,1032,1196.824
8523-85cb,3/22/12,31,1032,279.728
a2ba-8b30,10/20/11,24,1032,134.472
226e-cb55,2/5/09,443,1028,3472.72
43fd-9d02,7/27/07,403,1032,4258.256
54cb-417b,8/2/10,251,1032,1432.424
9124-2d62,6/4/11,185,1032,1538.2
a469-8100,2/22/11,74,1032,377.584
a9d8-a147,11/11/10,343,1032,3116.496
d7c0-f3bc,10/18/11,23,1004,152.816
e355-d1bd,7/2/09,432,1032,5569.03169817848
fb9c-2873,7/27/08,419,1032,5017.76
1bfe-a064,12/5/10,25,1636,230.936
2fb2-78bf,10/1/11,7,1032,82.928
4f31-d304,6/1/11,89,1032,857.151348558911
571a-9482,4/9/10,47,1032,695.766299050142
87f5-88db,7/13/07,1513,1032,18177.32
91d8-7f7c,10/26/11,71,1032,567.08
a6f9-449e,9/26/09,72,1032,567.224
b07b-ced8,7/20/09,178,1020,1889.23391981364
e8ef-2dbf,1/28/08,178,1032,1919.424
23a2-77b9,8/19/09,33,1048,442.048
5ea9-e488,7/24/10,43,1028,500.464
7b0c-8005,6/28/09,87,1082,849.512
8a48-15f6,2/7/08,173,1024,1603.576
a597-a82f,1/8/08,421,1032,8790.76
b7f6-b57f,2/17/12,91,1032,622.743214114993
d011-4043,10/17/09,50,1086,1002.752
1189-11f9,8/30/08,510,1024,4421.85921420859
27fd-938a,8/23/09,210,1032,1806.77399817345
2891-01e8,9/11/10,139,1032,1283.536
519a-368f,3/9/10,136,1032,1081.91910521454
bb30-b371,9/10/11,162,1032,1713.096
c213-ed9e,12/28/07,550,1032,10435.032
d404-773b,4/4/12,9,1032,87
eec0-55dc,3/21/11,47,1684,924.784
1611-15f8,12/4/09,40,1032,302.68
4884-2c9d,4/9/12,7,1032,56.504
ab12-dade,12/13/09,677,1032,4383.248
afb3-b3dc,4/11/09,219,1032,2008.70192119085
c65a-cd8c,9/4/09,146,1112,1181.80043819814
d07f-2175,11/11/11,67,1596,559.344
e563-8256,6/9/10,382,1650,3151.12242709358
07ea-f180,2/19/11,39,1032,813.36
4191-cb78,12/12/07,330,1020,22620.0702446804
8aca-d7b5,8/27/11,102,1112,852.576
91a9-9a6b,4/18/11,300,1012,2446.02494666601
cd83-e1a9,1/7/09,37,1032,589.344
d677-bc8a,10/6/07,597,1032,5218.552
e419-72de,12/20/09,154,1028,1293.744
0c3a-c620,9/26/08,229,1004,2152.408
5ffa-95fd,2/24/08,179,1032,1535.112
774d-a654,7/7/10,95,2018,679.31180559891
8d73-c50a,2/21/10,120,1032,1188.06905498664
9d59-d806,6/9/08,246,1032,3312.46146517256
b8e8-2ab0,5/7/09,190,1048,1593.12
e225-87b2,8/2/10,355,1032,2557.216
0ed0-7d8d,1/24/09,387,1024,2540.12980285677
4217-7212,9/23/09,283,1032,1962.736
d50f-3615,12/14/08,251,1032,2705.20118991384
e200-5375,4/11/09,617,1032,5295.7142915952
e8a4-998c,8/1/09,228,1024,1600.376
ef91-245b,5/11/11,397,1032,4057.92
04ec-253b,9/15/11,100,1430,854.576
06eb-f8f3,1/2/09,557,1032,7388.14347404629
0cad-44e9,9/23/11,46,1032,476.36
2fa0-6158,9/26/09,552,1042,5374.568
4a11-1df1,3/13/09,412,1032,5423.504
61d0-f6c8,7/10/09,9,1078,132.744
7099-da24,6/17/11,25,1028,229.048
743c-be59,7/17/10,423,1032,2125.408
9d80-8fea,10/18/09,22,1032,371.072
b2b2-f82a,12/26/08,454,1032,4075.44
f795-0945,6/22/09,95,1004,1726.94766336614
3ec2-5fbf,11/2/08,324,1086,2314.832
4da9-8401,3/5/10,87,1066,1893.344
7238-7af2,4/26/09,1078,1020,12662.4935823936
7e5c-9f66,8/21/09,147,1032,1222.168
a938-a99a,11/7/10,45,2326,442.928
c749-432a,5/14/09,103,1020,833.719051900453
eaeb-19de,12/23/08,480,1024,3705.64
096b-47df,1/5/08,268,1032,2704.488
6067-4a50,8/15/09,321,1716,3104.88
64f1-0906,4/18/09,210,1070,1744.24240577939
7c2b-c6f7,7/10/09,362,1048,2772.52
a84e-8bfe,1/29/08,543,1032,6081.544
c96e-24d8,4/26/08,918,1032,10953.9123718357
d4ee-95e9,12/28/07,950,1032,9847.51636264634
d640-16b3,2/14/09,476,1032,4970.60893663557
ee2a-3f99,3/12/08,161,1032,1256.536
18ea-2b25,6/6/10,92,2044,577.624
2ace-6511,11/8/08,88,1032,1227.61558441558
35ee-4a45,2/12/11,77,1032,381.968
4507-9aa7,4/8/12,40,1032,918.248
9460-2bec,11/1/07,566,1032,4927.536
b7c5-60ac,8/29/10,187,1032,1449.44
15a2-c992,7/2/08,401,1032,3649.424
19a2-1df0,4/26/12,6,1032,53.488
3ea4-eaaf,5/15/09,112,1032,1212.432
5711-3d70,12/30/07,251,1032,2858.57264983264
8415-da51,10/6/09,166,1032,1853.50767454587
8760-3b7c,1/7/09,295,1032,2562.216
8ee5-9d91,4/27/08,111,1032,1204.37289207978
91cf-becc,7/14/07,360,1004,3406.704
cbb1-39c2,7/29/08,158,1032,2759.328
d2b6-0296,4/5/09,225,1150,2030.128
f0db-edfb,8/9/09,280,1032,2709.4816206813
f2f2-d955,12/20/08,228,1032,2886.3092602471
0613-04ef,4/9/10,31,1746,290.4
0da0-7f13,2/28/10,21,1814,252.592
46fb-369a,6/1/09,13,1028,135.112
5ccc-e5d2,1/20/09,535,1032,3477.55192591418
9868-1729,10/3/09,32,1074,440.905181132092
9c96-9d28,10/28/08,1468,1032,14922.0798373291
a7e0-3a0b,2/8/08,72,1032,930.376
c364-8e1d,7/22/09,118,1032,1358.24
d2d8-13fe,1/22/09,228,1020,3732.216
f8da-3894,1/6/95,4,1000,163.8
0711-a50f,8/23/08,643,1032,6217.104
12da-9c09,11/7/09,324,1032,2114.568
39d7-3961,11/29/09,59,1028,476.072
42d8-5b79,1/14/09,1093,1032,9740.26900795331
44db-6e93,1/31/11,8,1268,96.36
8455-71cd,11/18/10,153,1074,1587.416
c38e-f9e5,9/17/09,82,1020,788.609696734499
ee7c-f8b0,5/28/11,64,1716,590.808
f0b7-a1cb,10/9/10,309,1684,3209.424
1830-350c,1/25/11,725,1430,7336.93304106852
25e8-6855,2/22/09,112,1032,831.32
29da-854f,2/27/12,17,1032,168.496
2b69-089c,7/1/07,840,1032,8470.08
6971-02f5,8/16/09,99,1032,657.992
6b3d-05d4,11/6/08,251,1032,2112.36
7bb1-1696,1/4/12,49,1570,330.976
9813-f73e,7/1/11,44,1032,429.824
c233-b92d,4/22/10,680,1024,6617.112
d572-4305,9/4/11,31,1424,396.832
ebf6-a39c,4/25/09,56,1032,903.352
7561-2b6c,3/22/12,30,1032,387.104
b303-8d52,8/21/11,24,1574,267.816
bd52-eff3,1/23/11,17,1032,265.208
cd80-7cb3,12/22/11,13,1032,186.032
e15d-f4c5,7/20/11,29,1032,270.36
4ac8-d696,5/4/08,1403,1032,5404.84542582576
6688-50d5,6/16/09,111,1032,853.184
6dcf-5f3f,11/27/08,214,1032,1967.48
fcea-e782,12/16/07,177,1032,1844.744
0157-d2a8,5/5/10,311,1032,3178.776
1270-a0bb,2/28/09,359,1032,2929.368
3512-2dce,4/14/12,20,1012,259.624809093038
e711-bea5,12/17/09,74,1004,572.552556127446
f672-9889,10/21/11,13,1028,149.352
5b80-9d8b,9/25/10,6,1926,64.88
7112-0d12,8/27/11,43,1032,288.608
b9a4-88cc,8/27/11,61,1070,675.128
1c15-74e6,1/28/08,960,1032,8213.296
bd01-a0d3,12/24/09,500,1032,4587.456
c65c-e685,8/15/09,108,1032,1039.024
0af1-3ff6,9/6/08,643,1032,5303.21278353587
5d39-f0a1,7/10/11,19,1926,267.608
9fb9-b220,4/10/12,1,1032,14.336
b65e-677c,5/21/07,669,1032,11418.336
bb6c-3f82,8/27/09,646,1032,7307.81968326584
cdda-919d,4/22/10,39,1032,718.376
58a9-b4fc,12/1/11,30,1032,191.552
7203-c7a3,8/27/09,264,1032,2519.208
78d0-f111,2/26/11,50,1042,405.048
7b36-a797,5/30/10,97,1410,1512.104
8a4f-d58d,6/2/07,708,1032,7666.464
e9a9-30d3,11/7/09,21,1716,208.184
078f-c0dd,2/2/12,150,1112,1211.832
0bcc-7a03,2/21/11,240,1154,1637.4
4e4e-3ce3,10/11/08,223,1032,2265.408
deb7-d389,7/29/07,762,1032,17300.0831242341
f2f8-93da,8/31/10,88,1032,1799.05641177425
666c-41b2,7/22/09,29,1028,506.912
7fca-edfd,2/7/09,213,1032,2594.736
a0ab-90e3,1/27/08,432,1032,4620.344
4088-2f7c,10/4/08,176,1032,1734.064
84ed-0b61,4/15/11,80,1032,775.112
9ada-51a9,3/1/09,443,1032,3475.168
ae5a-7812,7/17/09,83,1032,751.288
bcf1-b95a,6/6/11,67,1042,536.465324735084
cc3a-82e9,9/6/11,33,1032,449.84
ed86-a112,4/13/08,463,1032,4835.92
f479-e4c2,8/8/10,176,1032,1541.536
1911-1a4a,7/1/09,331,1078,3364.672
1c76-4a3e,1/28/10,97,1032,1582.864
457c-16bd,11/7/09,64,1048,607.806806798916
53c6-2dc6,11/20/09,130,1032,1461.70036384527
71ac-4840,4/13/07,604,1032,7852.44917964004
7244-3efe,10/8/10,217,1032,2029.424
88bc-8485,4/11/10,169,1032,1000.49254152362
8f9f-e3d5,3/15/08,851,1032,10688.6987031044
8fb4-850c,2/1/11,308,1410,3532.944
cae9-a85e,12/24/10,300,1032,3271.44
f859-56e1,2/19/10,90,1016,1148.536
11d7-81e1,8/30/09,431,1032,3969.14761364236
2e16-8294,6/7/09,40,1004,808.624
64da-19db,9/30/10,30,1032,364.096
7088-dd7a,12/12/08,31,1086,574.744
89ef-bf8a,1/30/09,278,1032,2318.72
bd0f-58b5,10/19/08,184,1032,3459.48
fc56-48b6,11/14/11,69,1426,905.748679370213
0918-c3a6,11/2/08,223,1032,2613.704
3436-65b7,4/17/12,4,1032,30.368
6e37-d3a0,11/28/09,393,1032,2797.44576009749
8759-c13b,6/22/10,736,1032,6455.472
9110-36a1,7/10/11,25,1032,249.752
c2b1-a560,8/5/10,5,1410,43.384
c7e0-2728,11/3/10,3,1032,26.12
0c84-47e5,12/9/07,6,1032,64.6
16e4-b496,4/27/12,8,1032,66.648
56cb-8459,9/28/09,414,1032,3356.92234798021
6134-6ead,3/17/10,161,1032,1345.688
ab71-68bc,7/19/10,264,1032,3420.552
ac61-9b32,1/4/12,144,1032,1391.656
b701-31ca,6/1/07,1334,1032,11638.664
d6a0-678e,7/31/10,62,1032,466.672
f9f6-4330,5/3/10,27,1020,487.48
072a-7f83,7/4/09,154,1032,2560.72989174481
11c4-3722,3/30/12,58,1042,961.328
3f27-4090,1/24/10,68,1032,910.424
85ba-2aa7,4/22/09,386,1032,2749.744
9fab-1aac,4/20/10,99,1654,1468.23549733034
c822-39a4,4/26/09,244,1032,2338.208
ea88-4536,10/5/10,170,1032,1695.832
4279-de42,4/23/11,60,1032,378.072
c44b-2dc1,3/12/09,108,1032,958.58873828874
cde6-3009,1/24/11,52,1596,572.504
e74f-91a3,11/14/08,281,1024,2607.76418997286
ef29-f8a7,3/13/10,287,1042,2303.28
295b-e1e3,9/15/10,43,1032,466.544
5bd2-7970,12/23/10,122,1032,2096.408
6690-e0ee,11/30/08,101,1032,912.104
925d-ea83,7/10/09,160,1032,1280.472
b764-c3f8,11/12/11,5,1028,57.776
d69c-2f38,7/5/09,387,1032,4090.504
d90e-0f3b,1/23/11,54,1032,435.2
ef6c-a7ac,10/4/11,15,1024,128.896
0574-f1d5,10/23/09,627,1020,3672.24
07da-e38c,4/23/10,41,1042,532.96
3aea-ac33,2/18/08,372,1032,3266.1568706091
3c89-d4f3,7/9/11,7,1042,42.976
cc68-a9f7,7/18/07,98,1032,1070.08
062d-a275,12/18/11,13,1032,103.832
66e1-121a,1/27/12,37,1112,334.128520135235
69fb-1734,5/15/10,94,1966,822.056
6d6e-16cc,2/16/09,345,1004,3631.2810296155
88ef-8e6f,8/24/11,35,1032,551.584
c528-112e,3/16/08,398,1032,4045.53183587813
124a-ae03,5/30/08,651,1032,7875.352
3d35-7de9,2/6/09,326,1032,3208.256
5223-36e6,8/30/09,426,1024,3863.92294781526
8cb2-8c65,3/5/10,340,1032,5273.08
9b77-b38c,10/19/10,162,1032,1608.784
aa6a-f63d,9/28/08,366,1032,4074.624
c2c6-463f,9/18/10,14,1596,320.68
f6ee-a17f,3/29/12,11,1032,87.08
fbb4-a739,5/21/08,1263,1032,10717.4888606765
0c18-965e,2/7/08,535,1032,5500.752
5b65-b107,1/24/12,36,1048,499.12
a009-5f1b,11/1/08,296,1024,3852.272
b770-4ccb,8/31/11,73,1032,768.008
fa64-2161,8/23/07,433,1032,6513.304
1554-2ff4,6/2/11,308,1806,3092.65022094103
4185-3e7a,9/30/11,55,1032,703.271521749427
4969-05b0,5/10/11,15,1112,174.768
8566-b40a,11/22/08,394,1032,3289.488
9a73-88a0,7/29/09,462,1032,4910.97769004142
9c1e-cd4e,5/22/10,99,1032,810.84
bfd2-9262,3/21/09,258,1032,1999.38511446073
c0b4-e5b5,11/13/08,25,1004,364.072
c44c-05d0,8/30/10,238,1032,2682.92
c4cb-5b6f,1/23/09,270,1032,1619.456
f4e1-b746,1/8/08,925,1032,13435.552
58f2-4f13,11/16/08,501,1032,4290.24
970d-be4b,6/18/11,182,1042,1797.656
a845-fe08,1/23/10,70,1032,735.064
d2ff-836f,10/23/10,49,1032,493.232
d343-cc29,2/21/10,183,1024,1656.44
e316-94d2,4/26/09,666,1032,11189.9721223488
f7a4-d8c5,4/26/10,519,1032,4442.928
0788-d0e3,11/20/08,749,1032,7032.05232
241b-c061,5/14/10,50,1032,431.392
71bf-6195,4/2/09,272,1032,2709.21947549734
7464-3031,8/30/09,222,1020,3882.08
f1b2-53f1,1/6/95,3,1000,65.488
01ad-ae42,4/10/09,253,1032,2135.52
0354-53a2,3/14/09,220,1032,2567.216
1aa3-3e33,7/17/10,341,1846,2425.864
1d19-2fd8,12/27/08,351,1032,6350.328
2533-60d1,6/21/09,60,1066,593.72
9037-07d0,9/27/11,192,1032,1230.56
9b56-9976,4/7/10,166,1058,1357.30100499525
bcdb-6959,4/19/12,6,1032,37.752
ed8f-5aa0,11/22/09,821,1822,6590.68
ff3b-5b33,11/17/07,351,1032,4265.456
8db3-887e,10/13/08,354,1032,3565.336
6f8b-fae4,5/28/07,456,1032,12072.2728559133
98da-43dd,8/23/10,61,1032,289.584
a0d0-c5c2,1/3/11,169,1032,1782.928
a5c4-0b2d,10/24/09,84,1032,969.318700166648
b6ba-c01b,9/1/07,511,1020,7408.9646030016
2969-d070,9/5/09,190,1112,1478.016
5b92-e515,2/26/10,20,1078,155.672
6986-ef72,4/1/10,72,1032,651.056
d5cd-3006,12/20/09,445,1032,2871.272
1bea-4628,7/4/09,121,1032,1312.288
2730-c579,6/22/10,79,1414,862.515852658782
3f40-c3df,12/30/09,477,1814,2893.064
4369-437b,2/17/08,168,1086,1788.69928739377
77cb-2ef5,1/9/09,347,1032,3358.504
918d-2b55,7/17/11,54,1032,527.112
a175-733b,2/13/11,248,1032,2139.384
f4fd-f447,1/7/12,1,1032,13.28
2d07-2f6d,2/17/12,48,1032,462.864
3274-6d6a,8/30/11,76,1032,710.848
372e-14c2,5/21/09,127,1032,1524.24
ac5b-6ffb,11/17/09,405,1032,5363.232
fffe-b68f,12/27/08,227,1032,2580.01281271283
0d60-2fc6,10/11/09,193,1082,2530.488
2cda-669d,4/15/09,141,1020,1614.592
3ebc-7fe1,8/1/09,112,1042,1096.816
8883-692a,3/14/10,166,1032,2700.392
b14d-7ef2,5/25/08,470,1004,5406.55569490332
0b3d-694b,11/3/10,150,1032,1339.208
0e72-2204,1/2/11,555,1032,5027.656
35bc-cc79,4/15/12,5,1032,92.136
4855-7ca1,11/8/09,9,1020,312.22573829626
5006-2235,8/16/09,243,1020,1554.688
bd0b-6f82,11/4/10,8,1032,102.444095838211
d3b2-ba2e,8/11/10,267,1032,3260.344
e413-084a,10/9/09,289,1708,2366.89481481482
1390-abff,4/7/09,763,1032,10919.992
6fbc-dcd8,10/16/08,920,1032,9634.96
da67-eb60,5/25/10,147,1004,1823.38950100545
deb3-404c,4/15/09,94,1032,1441.06867283574
1f50-b88f,7/14/08,397,1032,3193.49734253172
8fc5-7a40,9/5/11,287,1032,2983.256
96c8-370e,1/15/11,239,1032,2063.936
a370-ae66,1/26/12,50,1066,363.288
a5db-1623,10/15/10,96,1042,903.304
cd43-62de,8/22/08,138,1024,2677.448
f7d4-dd3e,11/10/07,824,1032,11103.5743831239
a8f9-fd7d,10/5/10,60,1024,666.416
dc18-2137,8/24/10,113,1032,1080.376
f4e4-a224,2/9/08,518,1032,5622.03471442571
0d39-d1b3,4/22/08,162,1032,3793.96
4dcd-3e9e,5/15/09,511,1032,4770.08028047487
7849-071b,10/12/08,369,1024,4066.952
8897-4600,8/11/07,2461,1032,26118.7892633178
9516-8962,7/6/09,191,1032,2616.44
a297-e718,12/7/08,216,1032,1780.76
bf02-0023,4/14/12,13,1032,134.04
c8cc-7f4b,12/10/11,141,1032,839.32
0a9d-86b5,2/16/10,231,1032,1822.48
0b7e-01af,7/5/09,275,1004,2872.99083279574
1345-ce22,6/6/10,87,1032,759.616
6d7b-226c,3/15/10,49,1042,527.816
b961-802a,2/16/11,24,1032,201.24
348c-197c,4/2/12,20,1032,164.736
3a03-49f9,5/16/08,422,1032,3878.58797503972
0b07-f9c1,10/28/11,9,1032,59.552
7050-8663,4/2/10,26,1108,320.596349462853
70a2-6f6d,4/11/10,13,1112,318.144
7f68-c772,9/2/11,11,1028,113.584
9e67-a117,1/20/11,10,1086,149.6
b4e6-8589,3/9/09,394,1032,5020.376
f9e9-915f,3/27/09,306,1024,12849.952
0a1c-26bd,12/21/08,262,1032,1997.152
0fab-dd9d,1/18/11,20,1410,384.496
a7b4-8961,6/19/10,190,1032,1690.04
4058-a6b3,2/15/08,2183,1032,20151.584
69b5-5730,9/3/11,144,1032,918.104
6cca-4bbd,12/19/09,14,1032,106.176
83a4-020c,8/28/10,249,1032,2205.376
8e68-8f72,7/30/09,16,1032,158.272
8e6b-5853,3/4/12,18,1032,114.944
bab3-67dd,6/20/07,249,1032,3010.14114106473
bee8-ef44,7/11/10,97,1058,1171.44028484375
d01c-22fd,6/18/11,16,1684,123.52
43d1-55c9,1/5/09,20,1032,328.128
4776-2ea3,10/29/11,18,1020,647.84
4c2a-39a9,2/25/11,39,1032,322.272
98eb-e27c,12/4/10,65,1074,540.510808897133
9c90-d570,8/20/08,140,1032,2023.512
b899-015e,4/13/08,280,1032,2684.512
31a3-ea6a,2/27/10,63,1084,439.224
489f-fcf9,8/20/09,164,1032,1319.24
829b-9763,9/12/09,189,1814,1402.624
8f0a-8862,8/27/11,207,1032,1467.57620669643
c6d4-b8bd,10/4/09,210,1840,1324.648
c8bd-c49f,11/13/10,215,1012,828.1460843231
e9d8-8075,2/8/09,443,1032,4544.624
048e-0688,4/26/12,1,1052,65.1231819531018
2310-19b3,10/24/09,118,1032,1634.36
6395-2dec,1/22/09,199,1032,1520.82952281411
8e7b-d5e8,5/29/11,328,1032,2641.36
f5b8-8b42,6/8/11,36,2174,237.04
250c-c4b4,5/4/09,228,1112,1711.69235426913
d1f7-f11e,11/15/08,420,1032,3129.32
fe15-19ae,12/15/07,906,1032,8754.38528025376
1ccd-5ed9,11/10/11,47,1032,359.264
1fcd-3507,12/22/11,49,1032,472.488
e23f-49d3,4/7/09,139,1032,1127.63871155001
f937-7891,9/25/09,355,1032,2538.49093278696
0b05-f6de,7/10/09,207,1028,1921.128
0b57-5fc3,8/31/09,128,1032,965.896
7b86-004a,7/10/08,459,1032,4393.248
7e35-5143,4/25/12,17,1032,185.448
80d2-52ac,3/17/07,487,1032,5766.95588185477
a49d-3009,10/7/09,43,1032,456.792
ceca-afbc,5/23/10,28,1138,333.943869076349
f7c8-3dcc,12/2/08,188,1032,1771.832
fc97-8e74,6/24/09,265,1032,3466.82052313355
0e94-1ecb,1/4/11,24,1028,222.064
2bcf-41ef,3/1/09,382,1032,2707.85216912798
2c69-c176,1/4/10,23,1032,333.042562816709
8405-24d8,7/17/10,291,1596,2338.43925647846
dea4-e565,2/25/12,2,1154,16.376
ffe5-ac25,12/19/07,198,1032,4040.20736620201
01e7-60ac,4/16/10,22,1596,289.96
1600-92cb,7/20/07,430,1032,10138.232
64b0-5237,1/31/09,457,1032,5275.208
7f1f-4571,5/6/09,1010,1032,7370.63111216822
919a-1078,1/17/11,540,1004,8003.34464610275
b367-b423,11/26/09,186,1032,1675.47992240304
d3bf-c144,9/6/08,495,1032,4366.008
faa4-4c8c,10/13/10,161,1016,1690.1697221135
5e7d-454a,6/12/11,20,1078,196.208
af63-c67a,10/12/07,198,1048,3443.75906245608
ccac-7cc4,6/27/09,379,1092,6164.4936
24ea-7dea,8/3/09,154,1032,1348.6
aaf7-1307,10/22/09,43,1004,710.029291256634
b5f9-697a,6/18/10,373,1032,4176.544
d074-da99,3/17/12,35,1032,268.712
f858-1f3f,9/27/09,143,1032,1842.472
5a2f-8875,11/6/10,429,1578,3565.392
9a6e-1e84,6/11/10,247,1890,861.251641870073
1b2d-23a3,8/13/11,224,1032,3190.136
1c50-433c,8/13/10,498,1032,3739.824
3108-9a54,3/7/10,52,1032,500.184
362e-cb5c,6/15/11,199,1032,1679.96
3a76-2659,7/10/09,77,1070,1052.312
88f4-f6af,11/11/11,48,1032,445.776
c5ce-15f9,9/11/09,23,1032,236.448
eeb2-28c3,9/14/08,95,1048,1111.8
1098-67f8,10/20/07,445,1020,10471.072
734e-8f3a,8/2/08,522,1028,6059.68
7b93-5be3,2/12/12,44,1032,388.616
7e02-3a27,9/25/07,349,1032,4306.304
8698-c424,5/18/11,501,1032,2979.048
9e2f-2969,12/3/09,143,1066,1655.752
4196-d863,3/26/10,169,1032,2237.952
8b27-d693,7/19/08,868,1032,6797.71203600485
c5d0-57e5,11/11/09,96,1032,1260.864
e119-ce08,6/9/10,86,1032,1012.888
2cae-7db4,9/11/08,425,1032,3910.328
40f2-86ac,3/26/12,72,1032,842.568
58f8-fad7,7/25/08,353,1032,3720.088
89ea-dd73,1/17/10,274,1814,2334.872
bd3d-4caa,4/20/07,721,1032,7361.632
c32e-7f36,6/4/09,1444,1020,16885.0470578847
cba2-226b,1/19/10,464,1032,3636.576
2f1e-83e5,2/11/11,45,1032,305.944
35b5-5e1c,3/22/09,527,1032,5934.12454510517
ad68-9e9f,12/21/08,262,1032,1870.696
c3a7-de8e,7/21/10,649,1032,6502.264
2aec-84a5,7/5/09,481,1032,4361.648
58ee-c249,11/15/09,120,1028,1189.344
d290-80fc,9/2/11,90,1032,578.128
5413-4726,11/4/07,243,1020,3717.568
a72c-29f9,11/17/10,394,1032,2513.208
cc11-c271,12/22/10,111,1032,746.84
2b8b-13e3,8/8/09,454,1112,3918
56b5-31e9,3/17/10,49,1086,698.248
8c6f-044a,9/18/10,148,1032,1432.77796469685
a0d3-8374,1/6/07,353,1032,4104.95422918367
f1d9-6556,1/13/09,380,1032,3391.6698928
0ec9-1426,12/15/09,322,1032,5014.33517865375
17d9-288f,11/30/08,283,1032,2893.04
2ec7-9b5e,11/7/10,41,1012,314.95616448788
5d3a-2b21,11/30/08,241,1112,2911.8
752e-e645,6/11/11,2,1020,46.512
856f-e536,5/29/10,12,1976,106.08
c62d-f378,11/14/09,175,1020,1704.15425848965
d2f8-a852,2/6/11,51,1032,370.36
e7b5-dcd1,7/18/09,754,1032,6279.712
2619-caf0,8/16/09,129,1112,1916.328
5f96-b9e6,1/21/08,519,1032,10911.5270175974
6d7a-1973,1/21/12,18,1032,217.816
beca-4112,11/23/08,224,1024,2200.22865687255
e568-2203,12/24/11,55,1032,440.128
e84e-9350,3/27/10,18,1032,174.184
2261-0b14,5/17/09,153,1032,1288.54317021946
743d-0ce3,8/10/09,373,1032,2111.608
7c20-6554,8/3/09,86,1066,1011.632
a125-f4c2,8/1/09,153,1032,1348.584
c779-2401,8/29/09,402,1032,3318.248
cd02-1412,3/23/12,5,1032,47.136
e0b4-e3cd,8/7/10,182,1032,1658.568
efc4-f539,2/27/12,24,1042,231.576
f375-d0ac,10/1/10,180,1020,2042.504
f7bb-d4d5,9/28/07,968,1032,10226.024
f9a5-e884,10/19/06,132,1020,2659.04759968229
fe54-4a53,4/3/11,112,1078,781.744
fff0-4cc4,1/28/11,55,3792,469.560699753129
1966-97c3,7/22/09,73,1032,839.952
4ee1-76b2,2/7/09,88,1066,819
652c-d232,10/6/08,218,1066,3072.71763513647
7db7-17b0,4/13/09,506,1570,5886.88
8a15-6e73,5/2/09,101,1032,778.041281104608
9eb9-5972,1/12/10,303,1032,2308.416
f6d8-d4c0,5/12/07,376,1032,4295.55183531056
0a89-4c65,6/24/10,409,1032,2707.736
410d-046c,9/5/11,85,1032,576.04
4eca-49ac,2/27/11,35,1032,330.136
9818-6e15,10/25/09,70,1032,795.96
0901-9b77,8/3/11,47,1032,676.208
857a-0161,4/26/09,191,1048,1375.208
a0f3-5114,1/28/10,382,1032,3549.48
a685-ca81,12/17/11,35,1032,417.024
b93c-4ee0,8/8/10,292,1032,1796.104
c6bd-ca6c,7/18/11,165,1032,1250.04369549081
d4fe-d0eb,12/16/11,187,1032,1620.256
2dd5-d305,2/8/09,235,1066,2876.136
3f4c-a7fd,5/2/12,10,1020,147.408
462f-a9d3,4/14/12,6,1032,97.48
4cab-7ff3,7/2/10,158,1684,1271.48
b776-c0ed,10/12/07,797,1032,7804.23039613537
b7bd-057e,1/24/10,572,1032,5079.16
e65d-1b41,3/23/08,829,1028,8016.19929772133
0155-8f87,10/23/10,73,1288,895.792
20d2-ad3b,3/9/08,652,1032,7559.49114311438
9516-a602,8/11/07,1320,1032,11767.5260220374
ed75-3f93,3/15/09,274,1032,3224.232
5fe0-30f9,3/15/11,4,1112,46.68
82fd-2b16,1/8/11,318,1128,1964.78244026278
8328-a2a5,10/11/09,171,1424,1210.808
a04e-8eae,12/16/08,161,1066,4702.76942321032
b0e6-82be,6/16/09,192,1032,1376.432
b123-f337,8/14/10,19,1020,896.32
e0ce-0cf7,4/28/10,37,1092,703.24
f7c2-d31f,4/3/08,400,1032,3129.2
fdd4-9a1d,3/27/09,283,1032,1709.72
25b2-faa6,3/28/10,137,1112,1131.352
2f67-81dd,5/14/11,62,1578,389.832
34b3-3e1c,9/26/10,22,1082,236.032
78b4-f7ba,8/21/09,65,1028,666.096
c403-0260,8/25/11,256,1032,2057
c454-f2c1,10/6/11,66,1032,540.848
